Subject,Start Date,Start Time,End Date,End Time,All Day Event
test,8/20/2019,,,,True
test2,8/30/2019,,,,True
A Day,08/21/2019,,,,True
B Day,08/22/2019,,,,True
A Day,08/23/2019,,,,True
B Day,08/26/2019,,,,True
A Day,08/27/2019,,,,True
B Day,08/28/2019,,,,True
A Day,08/29/2019,,,,True
B Day,09/02/2019,,,,True
A Day,09/03/2019,,,,True
B Day,09/04/2019,,,,True
A Day,09/05/2019,,,,True
B Day,09/06/2019,,,,True
A Day,09/09/2019,,,,True
B Day,09/10/2019,,,,True
A Day,09/11/2019,,,,True
B Day,09/12/2019,,,,True
A Day,09/13/2019,,,,True
B Day,09/16/2019,,,,True
A Day,09/17/2019,,,,True
B Day,09/18/2019,,,,True
A Day,09/19/2019,,,,True
B Day,09/20/2019,,,,True
A Day,09/23/2019,,,,True
B Day,09/24/2019,,,,True
A Day,09/25/2019,,,,True
B Day,09/26/2019,,,,True
A Day,09/27/2019,,,,True
B Day,09/30/2019,,,,True
A Day,10/01/2019,,,,True
B Day,10/02/2019,,,,True
A Day,10/03/2019,,,,True
B Day,10/04/2019,,,,True
A Day,10/07/2019,,,,True
B Day,10/08/2019,,,,True
A Day,10/09/2019,,,,True
B Day,10/10/2019,,,,True
A Day,10/11/2019,,,,True
B Day,10/14/2019,,,,True
A Day,10/15/2019,,,,True
B Day,10/16/2019,,,,True
A Day,10/17/2019,,,,True
B Day,10/18/2019,,,,True
A Day,10/21/2019,,,,True
B Day,10/22/2019,,,,True
A Day,10/23/2019,,,,True
B Day,10/24/2019,,,,True
A Day,10/25/2019,,,,True
B Day,10/28/2019,,,,True
A Day,10/29/2019,,,,True
B Day,10/30/2019,,,,True
A Day,10/31/2019,,,,True
B Day,11/01/2019,,,,True
A Day,11/04/2019,,,,True
B Day,11/05/2019,,,,True
A Day,11/06/2019,,,,True
B Day,11/07/2019,,,,True
A Day,11/08/2019,,,,True
B Day,11/11/2019,,,,True
A Day,11/12/2019,,,,True
B Day,11/13/2019,,,,True
A Day,11/14/2019,,,,True
B Day,11/15/2019,,,,True
A Day,11/18/2019,,,,True
B Day,11/19/2019,,,,True
A Day,11/20/2019,,,,True
B Day,11/21/2019,,,,True
A Day,11/22/2019,,,,True
B Day,11/25/2019,,,,True
A Day,11/26/2019,,,,True
B Day,11/27/2019,,,,True
A Day,11/28/2019,,,,True
B Day,11/29/2019,,,,True
A Day,12/02/2019,,,,True
B Day,12/03/2019,,,,True
A Day,12/04/2019,,,,True
B Day,12/05/2019,,,,True
A Day,12/06/2019,,,,True
B Day,12/09/2019,,,,True
A Day,12/10/2019,,,,True
B Day,12/11/2019,,,,True
A Day,12/12/2019,,,,True
B Day,12/13/2019,,,,True
A Day,12/16/2019,,,,True
B Day,12/17/2019,,,,True
A Day,12/18/2019,,,,True
B Day,12/19/2019,,,,True
A Day,12/20/2019,,,,True
B Day,12/23/2019,,,,True
A Day,12/24/2019,,,,True
B Day,12/25/2019,,,,True
A Day,12/26/2019,,,,True
B Day,12/27/2019,,,,True
A Day,12/30/2019,,,,True
B Day,12/31/2019,,,,True
A Day,01/01/2020,,,,True
B Day,01/02/2020,,,,True
A Day,01/03/2020,,,,True
B Day,01/06/2020,,,,True
A Day,01/07/2020,,,,True
B Day,01/08/2020,,,,True
A Day,01/09/2020,,,,True
B Day,01/10/2020,,,,True
A Day,01/13/2020,,,,True
B Day,01/14/2020,,,,True
A Day,01/15/2020,,,,True
B Day,01/16/2020,,,,True
A Day,01/17/2020,,,,True
B Day,01/20/2020,,,,True
A Day,01/21/2020,,,,True
B Day,01/22/2020,,,,True
A Day,01/23/2020,,,,True
B Day,01/24/2020,,,,True
A Day,01/27/2020,,,,True
B Day,01/28/2020,,,,True
A Day,01/29/2020,,,,True
B Day,01/30/2020,,,,True
A Day,01/31/2020,,,,True
B Day,02/03/2020,,,,True
A Day,02/04/2020,,,,True
B Day,02/05/2020,,,,True
A Day,02/06/2020,,,,True
B Day,02/07/2020,,,,True
A Day,02/10/2020,,,,True
B Day,02/11/2020,,,,True
A Day,02/12/2020,,,,True
B Day,02/13/2020,,,,True
A Day,02/14/2020,,,,True
B Day,02/17/2020,,,,True
A Day,02/18/2020,,,,True
B Day,02/19/2020,,,,True
A Day,02/20/2020,,,,True
B Day,02/21/2020,,,,True
A Day,02/24/2020,,,,True
B Day,02/25/2020,,,,True
A Day,02/26/2020,,,,True
B Day,02/27/2020,,,,True
A Day,02/28/2020,,,,True
B Day,03/02/2020,,,,True
A Day,03/03/2020,,,,True
B Day,03/04/2020,,,,True
A Day,03/05/2020,,,,True
B Day,03/06/2020,,,,True
A Day,03/09/2020,,,,True
B Day,03/10/2020,,,,True
A Day,03/11/2020,,,,True
B Day,03/12/2020,,,,True
A Day,03/13/2020,,,,True
B Day,03/16/2020,,,,True
A Day,03/17/2020,,,,True
B Day,03/18/2020,,,,True
A Day,03/19/2020,,,,True
B Day,03/20/2020,,,,True
A Day,03/23/2020,,,,True
B Day,03/24/2020,,,,True
A Day,03/25/2020,,,,True
B Day,03/26/2020,,,,True
A Day,03/27/2020,,,,True
B Day,03/30/2020,,,,True
A Day,03/31/2020,,,,True
B Day,04/01/2020,,,,True
A Day,04/02/2020,,,,True
B Day,04/03/2020,,,,True
A Day,04/06/2020,,,,True
B Day,04/07/2020,,,,True
A Day,04/08/2020,,,,True
B Day,04/09/2020,,,,True
A Day,04/10/2020,,,,True
B Day,04/13/2020,,,,True
A Day,04/14/2020,,,,True
B Day,04/15/2020,,,,True
A Day,04/16/2020,,,,True
B Day,04/17/2020,,,,True
A Day,04/20/2020,,,,True
B Day,04/21/2020,,,,True
A Day,04/22/2020,,,,True
B Day,04/23/2020,,,,True
A Day,04/24/2020,,,,True
B Day,04/27/2020,,,,True
A Day,04/28/2020,,,,True
B Day,04/29/2020,,,,True
A Day,04/30/2020,,,,True
B Day,05/01/2020,,,,True
A Day,05/04/2020,,,,True
B Day,05/05/2020,,,,True
A Day,05/06/2020,,,,True
B Day,05/07/2020,,,,True
A Day,05/08/2020,,,,True
B Day,05/11/2020,,,,True
A Day,05/12/2020,,,,True
B Day,05/13/2020,,,,True
A Day,05/14/2020,,,,True
B Day,05/15/2020,,,,True
A Day,05/18/2020,,,,True
B Day,05/19/2020,,,,True
A Day,05/20/2020,,,,True
B Day,05/21/2020,,,,True
A Day,05/22/2020,,,,True
B Day,05/25/2020,,,,True
A Day,05/26/2020,,,,True
B Day,05/27/2020,,,,True
A Day,05/28/2020,,,,True
B Day,05/29/2020,,,,True
